hcpcs_code,total_paid,total_claims,total_beneficiaries,row_count
93000,395987.59,48354,31965,1222
71046,388810.05,49132,44711,1363
71275,388663.62,4503,3989,209
87661,386447.32,17632,15074,193
99243,385099.37,2982,2692,136
99211,384072.89,37626,22184,463
76801,373576.9,7267,6294,314
96365,372394.28,11757,8511,227
99469,371319.18,1590,453,27
H0016,367250.0,1585,1335,62
T1021,364279.02,13344,436,33
76641,359741.49,13736,8098,234
99308,358186.1,97769,51526,1304
Q3014,356216.0,657,629,21
99396,351350.82,6713,6475,309
99401,344731.98,17563,15030,298
72148,343733.85,1827,1380,73
59410,343507.59,405,363,27
87482,336374.05,7138,6632,70
88184,321629.86,9564,8479,167
85027,317897.31,357330,190689,1720
D8080,313328.05,291,262,18
88341,294664.81,5559,4790,211
T1020,293387.32,1258,921,59
76705,293137.22,7668,7005,255
G0483,290317.55,9918,8217,76
E0466,279197.64,1599,1149,69
99051,277012.49,46236,43091,894
66984,274710.33,606,488,25
87512,273956.66,7582,7059,75
96375,263685.91,43554,20517,422
J7120,257206.3,8517,6619,143
99221,256187.08,1726,1315,72
T1005,256093.48,7659,1068,48
87880,255392.25,91173,82450,1959
V2020,254828.79,16274,15431,714
88313,253978.36,6741,5950,218
99241,248775.78,1819,1535,43
76830,247244.11,4990,4475,253
D9920,247243.55,19196,17953,406
96372,243837.27,33606,25332,777
90471,242108.75,48771,43893,1226
87275,242061.35,34892,32809,370
76856,241767.89,4634,4219,246
93010,239050.67,76012,57338,2049
90960,238976.44,10243,7734,338
87653,238768.61,8970,8470,148
92557,238478.2,13904,10602,581
11721,237090.72,30719,25776,810
92552,236982.29,17465,16982,371
D1330,234919.54,279954,267720,2534
95117,234561.53,28124,11209,275
87070,230784.93,68206,57838,1037
85048,228610.95,12999,2796,96
95886,227074.29,5073,2553,101
81025,226873.52,129929,106617,1886
88237,224775.81,5258,3593,68
99441,224225.97,9116,6797,168
S5160,221238.5,5532,5081,76
H0006,220749.7,2991,997,49
64488,219626.67,6529,3618,224
99383,219608.71,1833,1729,95
87040,218597.74,73882,55946,1097
H1001,218572.51,1600,1451,92
11102,217749.82,5667,5254,223
84484,215617.33,106094,68932,1273
93005,215082.3,40101,31025,570
00170,215024.49,1783,1684,60
87276,214130.53,87921,76568,681
90670,211761.17,51076,45728,1684
V5266,210304.61,21577,20885,550
11056,207441.6,13266,12644,327
85041,206176.07,2130,1424,56
87633,206012.46,4034,3762,129
92650,202105.9,5538,3944,81
76813,202064.02,3264,2985,140
83735,201006.57,112089,52241,1155
E0601,199112.09,6462,5514,196
A0130,199014.66,3439,578,24
87511,198751.55,8004,6736,101
A5500,196873.52,5504,2559,103
87811,192642.15,20145,11284,145
92523,191698.83,2350,2170,142
84132,187348.73,2582,1579,107
V5014,186569.88,1291,1151,65
93303,186434.24,2329,1748,82
A0425,186133.7,74239,45704,503
T1002,185795.99,3060,1169,33
90847,183867.22,1635,1153,33
87426,182324.53,15863,13056,323
76805,181454.36,2526,2381,123
81001,179347.4,221227,183145,1936
0241U,178938.12,2139,1861,74
A0426,178453.83,3386,2338,74
99386,178399.23,2383,2304,123
88141,178033.31,10054,9719,483
D9222,177896.21,2975,2644,71
00003,177698.06,800,775,33
